species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
auricularis,358120,Nanogyra auricularis,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Nanogyra,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Nanogyra,Jurassic,No especificado
dumortieri,358121,Gryphaea (Gryphaea) dumortieri,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Gryphaea (Gryphaea),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Gryphaea,Jurassic,No especificado
sp.,358122,Lithophaga,Mollusca,Bivalvia,Mytilida,Mytilidae,Lithophaga,-28.950001,-70.283333,suspension feeder,boring,open shallow subtidal,"lagoonal,coastal,inner shelf,outer shelf,oceanic,brackish,freshwater",Lithophaga,Jurassic,No especificado
subpunctata,358123,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
costatum,358124,Actinostreon,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Actinostreon,Jurassic,No especificado
longistriatum,358125,Actinostreon,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Actinostreon,Jurassic,No especificado
sp.,358126,Pinna,Mollusca,Bivalvia,Ostreida,Pinnidae,Pinna,-28.950001,-70.283333,suspension feeder,semi-infaunal,open shallow subtidal,"marine,brackish",Pinna,Jurassic,No especificado
sp. A,358127,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp.,358128,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp. A,358129,Quadratirhynchia,Brachiopoda,Rhynchonellata,Rhynchonellida,Tetrarhynchiidae,Quadratirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Quadratirhynchia,Jurassic,No especificado
